,alph_len,dfa_states,dfa_final,dfa_unique_session_id,epsilon,max_EQ,word_prob,noise_type,mistake_prob,extraction_time,extraction_loops,membership_query,dfa_extract_states,dfa_extract_final,dist_dfa_noisy,dist_dfa_extr,dist_noisy_extr
1,8,39,28,7572,0.005,250,0.01,noisy_DFA,0.005,10.552945613861084,500,2655072,124,82,0.005023813420464778,0.0010848766522598358,0.005941785972376947
2,8,39,28,7572,0.005,250,0.01,noisy_DFA,0.0025,11.243907690048218,500,2586244,98,70,0.002411764250023789,0.00013352328027813363,0.0024785258901628554
3,8,39,28,7572,0.005,250,0.01,noisy_DFA,0.0015,12.59581732749939,500,2784925,55,39,0.0014771012880768534,5.007123010430011e-05,0.0015271725181811534
4,8,39,28,7572,0.005,250,0.01,noisy_DFA,0.001,17.534124851226807,500,2828024,68,47,0.0011516382923989026,0.0001919397153998171,0.0010431506271729191
0,6,59,29,9408,0.005,250,0.01,noisy_DFA,0.01,8.001584529876709,500,1777966,156,74,0.010072662455981707,0.009521878924834404,0.018826782519216843
1,6,59,29,9408,0.005,250,0.01,noisy_DFA,0.005,8.684582710266113,500,1831224,96,46,0.004957051780325711,0.00045898627595608436,0.0051990627258298285
2,6,59,29,9408,0.005,250,0.01,noisy_DFA,0.0025,9.02531099319458,500,1849499,99,45,0.0023366574048673387,0.00010014246020860022,0.0023366574048673387
3,6,59,29,9408,0.005,250,0.01,noisy_DFA,0.0015,10.454141855239868,500,1920435,91,43,0.0015271725181811534,0.0014604108780420866,0.00293751216611894
4,6,59,29,9408,0.005,250,0.01,noisy_DFA,0.001,11.729540348052979,500,1962668,90,44,0.001068186242225069,4.172602508691676e-05,0.001109912267311986
0,18,32,18,11233,0.005,250,0.01,noisy_DFA,0.01,15.75056505203247,500,5537366,218,133,0.010690207627268074,0.1504306656433523,0.1563974872307814
1,18,32,18,11233,0.005,250,0.01,noisy_DFA,0.005,16.35767364501953,500,5594264,191,103,0.004906980550221411,0.009496843309782255,0.014270300579725533
2,18,32,18,11233,0.005,250,0.01,noisy_DFA,0.0025,18.980133295059204,500,5646643,114,64,0.0021780985095370547,0.0015021369031290035,0.0036802354126660585
3,18,32,18,11233,0.005,250,0.01,noisy_DFA,0.0015,20.813590049743652,500,5774458,71,41,0.0014771012880768534,0.0008845917318426353,0.002345002609884722
4,18,32,18,11233,0.005,250,0.01,noisy_DFA,0.001,24.387874603271484,500,5775130,57,34,0.0009096273468947853,4.172602508691676e-05,0.0008845917318426353
0,4,29,24,13174,0.005,250,0.01,noisy_DFA,0.01,8.534680843353271,500,1753056,123,96,0.009530224129851788,0.0023616930199194886,0.011007325417928641
1,4,29,24,13174,0.005,250,0.01,noisy_DFA,0.005,8.319651126861572,500,1620699,71,58,0.005023813420464778,0.00010014246020860022,0.005040503830499545
2,4,29,24,13174,0.005,250,0.01,noisy_DFA,0.0025,8.953915119171143,500,1725974,65,51,0.002486871095180239,0.00020028492041720045,0.0025703231453540723
3,4,29,24,13174,0.005,250,0.01,noisy_DFA,0.0015,10.91715145111084,500,1852120,61,48,0.00151882731316377,8.345205017383352e-06,0.0015271725181811534
4,4,29,24,13174,0.005,250,0.01,noisy_DFA,0.001,13.167187690734863,500,1944759,47,41,0.0009346629619469355,5.007123010430011e-05,0.0009513533719817021
0,18,21,7,14823,0.005,250,0.01,noisy_DFA,0.01,17.828901290893555,500,6563689,229,72,0.010064317250964322,0.11190919928311076,0.11871888657729557
1,18,21,7,14823,0.005,250,0.01,noisy_DFA,0.005,19.62295389175415,500,6681825,175,59,0.004982087395377861,0.02138876045955353,0.02603703965423606
2,18,21,7,14823,0.005,250,0.01,noisy_DFA,0.0025,23.914079427719116,500,6892225,133,44,0.0025285971202671557,0.00043395066090393434,0.0028290245008929563
3,18,21,7,14823,0.005,250,0.01,noisy_DFA,0.0015,23.497188568115234,500,7077718,73,28,0.0014353752629899365,0.00010848766522598358,0.0014270300579725533
4,18,21,7,14823,0.005,250,0.01,noisy_DFA,0.001,25.449568033218384,500,6993465,46,13,0.0011266026773467525,0.0,0.0011266026773467525
0,9,44,11,16784,0.005,250,0.01,noisy_DFA,0.01,10.442267417907715,500,2829185,168,43,0.009622021385043006,0.061262150032611186,0.06961570025501193
1,9,44,11,16784,0.005,250,0.01,noisy_DFA,0.005,10.538145303726196,500,2806953,114,38,0.004932016165273561,0.003546712132387925,0.007944635176548951
2,9,44,11,16784,0.005,250,0.01,noisy_DFA,0.0025,11.498710870742798,500,2861932,101,26,0.0025953587604062227,0.0006509259913559015,0.0031461422915535237
3,9,44,11,16784,0.005,250,0.01,noisy_DFA,0.0015,13.07917070388794,500,2996927,92,28,0.0017691834636852706,0.00025870135553888394,0.001610624568354987
4,9,44,11,16784,0.005,250,0.01,noisy_DFA,0.001,15.18370771408081,500,3090894,60,19,0.0010014246020860023,7.510684515645016e-05,0.0009263177569295521
