,alph_len,dfa_states,dfa_final,dfa_unique_session_id,epsilon,max_EQ,word_prob,noise_type,mistake_prob,extraction_time,extraction_loops,membership_query,dfa_extract_states,dfa_extract_final,dist_dfa_noisy,dist_dfa_extr,dist_noisy_extr
0,12,35,9,35,0.005,250,0.01,noisy_DFA,0.01,11.270630359649658,500,3953995,191,50,0.009613676180025621,0.1560970598501556,0.16242272525333218
1,12,35,9,35,0.005,250,0.01,noisy_DFA,0.005,12.43179965019226,500,3868195,124,34,0.004798492884995427,0.0006843068114254348,0.005432728466316562
2,12,35,9,35,0.005,250,0.01,noisy_DFA,0.0025,13.910255432128906,500,3872113,98,29,0.0025369423252845393,0.0001752493053650504,0.0025953587604062227
3,12,35,9,35,0.005,250,0.01,noisy_DFA,0.0015,14.925286769866943,500,3925249,72,21,0.00141868485295517,1.6690410034766704e-05,0.0014353752629899365
4,12,35,9,35,0.005,250,0.01,noisy_DFA,0.001,18.098299741744995,500,4219937,50,14,0.0009680437820164689,6.676164013906682e-05,0.0010348054221555358
0,13,43,32,1874,0.005,250,0.01,noisy_DFA,0.01,11.954644441604614,500,4017028,188,135,0.009822306305460205,0.13742883622626906,0.14464743856630563
1,13,43,32,1874,0.005,250,0.01,noisy_DFA,0.005,12.845948696136475,500,4017707,136,101,0.004923670960256178,0.006183796917881064,0.010690207627268074
2,13,43,32,1874,0.005,250,0.01,noisy_DFA,0.0025,14.658731698989868,500,4129364,87,67,0.0025536327353193056,0.00011683287024336693,0.002603703965423606
3,13,43,32,1874,0.005,250,0.01,noisy_DFA,0.0015,15.139377355575562,500,4268309,65,45,0.0016022793633376036,0.00022532053546935052,0.0016273149783897537
4,13,43,32,1874,0.005,250,0.01,noisy_DFA,0.001,17.87191367149353,500,4135429,67,51,0.001018115012120769,0.00011683287024336693,0.0011182574723293693
0,16,23,3,3701,0.005,250,0.01,noisy_DFA,0.01,17.434310913085938,500,6860744,220,28,0.01000590081584264,0.07494828626111989,0.08301809951292959
1,16,23,3,3701,0.005,250,0.01,noisy_DFA,0.005,18.1408429145813,500,6828160,175,21,0.004856909320117111,0.002587013555388839,0.007210257135019217
2,16,23,3,3701,0.005,250,0.01,noisy_DFA,0.0025,19.355902433395386,500,6418269,116,13,0.002303276584797805,0.001969468384102471,0.00425605455886551
3,16,23,3,3701,0.005,250,0.01,noisy_DFA,0.0015,23.29469919204712,500,7345290,68,10,0.00151882731316377,0.00043395066090393434,0.0019360875640329377
4,16,23,3,3701,0.005,250,0.01,noisy_DFA,0.001,24.506871223449707,500,6818473,78,13,0.0010014246020860023,0.00011683287024336693,0.0011182574723293693
0,9,54,30,5673,0.005,250,0.01,noisy_DFA,0.01,9.674715280532837,500,2619239,175,95,0.010514958321903025,0.159109678861431,0.16401665941165242
1,9,54,30,5673,0.005,250,0.01,noisy_DFA,0.005,9.933283567428589,500,2543195,146,79,0.006300629788124431,0.0025035615052150057,0.005933440767359564
2,9,54,30,5673,0.005,250,0.01,noisy_DFA,0.0025,11.406002044677734,500,2707628,123,63,0.0023616930199194886,0.00022532053546935052,0.0025536327353193056
3,9,54,30,5673,0.005,250,0.01,noisy_DFA,0.0015,13.0907621383667,500,2758647,89,45,0.0014854464930942367,4.172602508691676e-05,0.0014604108780420866
4,9,54,30,5673,0.005,250,0.01,noisy_DFA,0.001,14.503039598464966,500,2800213,66,35,0.001068186242225069,5.007123010430011e-05,0.001018115012120769
0,8,39,28,7572,0.005,250,0.01,noisy_DFA,0.01,9.852656364440918,500,2592419,171,118,0.010072662455981707,0.0695322482048381,0.07775227514696069
