,alph_len,dfa_states,dfa_final,dfa_unique_session_id,epsilon,max_EQ,word_prob,noise_type,extraction_time,extraction_loops,membership_query,dfa_extract_states,dfa_extract_final,dist_dfa_noisy,dist_dfa_extr,dist_noisy_extr
0,12,35,9,35,0.005,250,0.01,counter_DFA,1.4871058464050293,83,128671,42,10,5.841643512168347e-05,3.338082006953341e-05,7.510684515645016e-05
0,18,54,3,174,0.005,250,0.01,counter_DFA,27.113014459609985,500,6502963,251,108,0.0016690410034766704,0.001727457438598354,0.0006592711963732848
0,15,58,35,735,0.005,250,0.01,counter_DFA,23.691450357437134,500,4110159,250,146,0.00028373697059103396,0.00048402189100823443,0.0007176876314949682
0,9,24,5,1261,0.005,250,0.01,counter_DFA,5.1105406284332275,187,499830,94,11,0.0005841643512168347,0.0006342355813211348,0.00023366574048673387
0,16,43,7,1493,0.005,250,0.01,counter_DFA,17.83402371406555,500,4847411,251,132,0.0024701806851454722,0.003413188852109791,0.0013101971877291863
0,6,42,11,2038,0.005,250,0.01,counter_DFA,9.19416332244873,500,1797369,250,151,0.00283736970591034,0.005249133955934128,0.00453144632443916
0,16,43,34,2583,0.005,250,0.01,counter_DFA,4.157400131225586,153,490277,77,45,0.00010014246020860022,0.00020028492041720045,0.00015021369031290033
0,11,47,12,2785,0.005,250,0.01,counter_DFA,18.093191862106323,500,3348674,249,64,0.00024201094550411722,0.0005591287361646846,0.0008011396816688018
0,15,27,19,3313,0.005,250,0.01,counter_DFA,38.90960907936096,481,4598285,241,78,0.002044575229258921,0.002044575229258921,5.007123010430011e-05
0,7,24,17,3820,0.005,250,0.01,counter_DFA,5.839024543762207,167,452766,83,69,0.0003755342257822509,0.0004172602508691676,0.00012517807526075028
