,range_min,range_max,num_benchmarks,Mean Alphabet Size,Mean DFA State,Mean Extracted DFA State,Dist to Noisy,Dist to Extracted,Dist Noisy to Extracted,Gain,STD Original to Extracted
0,0.005,1.0,0,,,,,,,,
1,0.0025,0.005,1,6.0,42.0,250.0,0.00283736970591034,0.005249133955934128,0.00453144632443916,0.5405405405405406,
2,0.0015,0.0025,3,16.333333333333332,41.333333333333336,247.66666666666666,0.0020612656392936875,0.002395073839989022,0.0006731798714022571,0.8606271777003482,0.0008958568840599567
3,0.001,0.0015,0,,,,,,,,
4,0.0005,0.001,1,9.0,24.0,94.0,0.0005841643512168347,0.0006342355813211348,0.00023366574048673387,0.9210526315789473,
